rank,kaynak_dosya,urun_adi,fiyat,potansiyel_skoru,trend_durumu,hedef_kitle,risk_analizi,rakip_durumu,pazarlama_fikri,video_ozeti,manipulasyon_riski,kalite_puani,hype_puani,fiyat_puani,urun_resmi,link,aciklama
12,a101.csv,"Sürgülü Erzak Kabı 7,5 L Beyaz","₺109,00",72,Yükselişte,"Ev hanımları, yemek yapmayı seven bireyler, düzenli depolama arayanlar.",Orta düzeyde iade riski; kullanıcı memnuniyetsizliği durumunda iade edilebilir.,"En büyük rakip BİM, 7,5 L için 109,00 TL fiyatla benzer bir ürün sunuyor.",Düzenli bir mutfak için ideal çözüm!,Olumlu,Düşük; yorumlar doğal görünüyor.,80,70,75,https://cdn.dsmcdn.com/ty519/product/media/images/20220831/15/167331079/549222979/2/2_org_zoom.jpg,https://www.a101.com.tr/ev-yasam/surgulu-erzak-kabi-7-5-l-beyaz_p-26040251,"Sürgülü Erzak Kabı 7,5 L Beyaz, uygun fiyatıyla dikkat çekiyor. 109,00 TL'den satışa sunulmakta ve geniş kapasitesiyle kullanıcıların ihtiyaçlarını karşılamayı hedefliyor."
13,a101.csv,Taç Bella Döküm Derin Tencere 24 cm 4 L Siyah,"₺699,00",76,Yükselen,"Ev hanımları, yemek yapmayı seven bireyler, mutfak ürünleri arayan tüketiciler.","Ürün iade ve arıza riski düşük, ancak döküm malzeme nedeniyle dikkatli kullanım gerektiriyor.","En büyük rakip: Tefal; fiyat farkı: Taç Bella Döküm 699 TL, Tefal benzer ürün 799 TL.",Şıklığı ve sağlıklı pişirme deneyimini bir arada sunan Taç Bella Döküm Tencere ile mutfaklarınıza değer katın!,Olumlu,"Yorumlar doğal görünüyor, bot riski düşük.",85,75,70,https://cdn.dsmcdn.com/ty812/product/media/images/20230404/15/318187294/900045708/2/2_org_zoom.png,https://www.a101.com.tr/ev-yasam/tac-bella-dokum-derin-tencere-24-cm-4-l-siyah_p-26037359,"Taç Bella Döküm Derin Tencere, 24 cm boyutunda ve 4 L kapasiteye sahip, şık tasarımıyla mutfaklarda yer alıyor. Ürün, yüksek kaliteli döküm malzemesi ile uzun ömürlü kullanım sunuyor."
14,a101.csv,Realme C65 128 GB 8 GB RAM Dual Cep Telefonu Siyah,"₺7.499,00",65,"Yeni ürün, pazarın ilgi odağı.",Gençler ve teknoloji meraklıları.,Realme'nin sınırlı fiziksel mağaza ağı ve zayıf satış sonrası hizmetleri nedeniyle iade ve arıza riski yüksek.,"Xiaomi Redmi Note 11, benzer özelliklerde ve fiyat aralığında bir rakip.","Güçlü performans, şık tasarım - Realme C65 ile tanışın!","Olumlu, kullanıcılar cihazın performansını beğeniyor.","Yorumlar doğal görünüyor, bot riski düşük.",75,70,60,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/r/5/d/c65-5g-rmx3997-realme-original-imah4zevfzgxameu.jpeg?q=70&crop=false,https://www.a101.com.tr/elektronik/realme-c65-128-gb-8-gb-ram-dual-cep-telefonu-siyah_p-26065441,"Realme C65, 128 GB depolama ve 8 GB RAM ile güçlü bir performans sunan bir cep telefonudur. Fiyatı ₺7.499,00 olup, özellikle genç kullanıcılar ve teknoloji meraklıları için cazip bir seçenek olabilir."
15,a101.csv,Realme Note 60 128 GB 4 GB RAM Cep Telefonu Mavi,"₺6.699,00",70,"Yeni ürün, pazarın giriş seviyesi segmentinde yer alıyor.",Gençler ve bütçe dostu akıllı telefon arayan kullanıcılar.,"İade ve arıza riski, sınırlı servis ağı nedeniyle yüksek.","En büyük rakip Xiaomi Redmi Note serisi, fiyat farkı yaklaşık ₺500.",Günlük hayatın ihtiyaçlarını karşılayan uygun fiyatlı akıllı telefon.,Olumlu,"Yorumlar doğal görünüyor, bot riski düşük.",75,65,80,https://images.migrosone.com/elektronik/product/39189205/39189205_1-5357d9-1650x1650.jpg,https://www.a101.com.tr/elektronik/realme-note-60-128-gb-4-gb-ram-cep-telefonu-mavi_p-26056773,"Realme Note 60, 128 GB depolama ve 4 GB RAM ile donatılmış uygun fiyatlı bir akıllı telefon. Mavi rengiyle dikkat çekerken, günlük kullanım için yeterli performans sunuyor. Ancak, sınırlı fiziksel mağaza varlığı ve zayıf satış sonrası destek, potansiyel alıcılar için bir endişe kaynağı olabilir."
16,a101.csv,Tecno Spark 10 Pro 256 GB 8 GB RAM Cep Telefonu Beyaz,"₺8.499,00",65,"Yeni ürün, pazar girişi.","Gençler, teknoloji meraklıları, orta gelir grubu kullanıcıları.","Ortalama iade ve arıza riski, ancak marka bilinirliği düşük olduğu için kullanıcıların güveni sorgulanabilir.","Xiaomi Redmi Note 12, fiyatı ₺8.999,00 ile en büyük rakip.","Güçlü performans, uygun fiyat!",Olumlu,"Yorumlar doğal görünüyor, ancak dikkatli olunmalı.",75,60,70,https://bilginedir.com/wp-content/uploads/2023/08/tecno-spark-10-pro-256-gb-8-gb-ram-cep-telefonu-beyaz.jpg,https://www.a101.com.tr/elektronik/tecno-spark-10-pro-256-gb-8-gb-ram-cep-telefonu-beyaz_p-26038106,"Tecno Spark 10 Pro, 256 GB depolama ve 8 GB RAM ile güçlü bir performans sunan bir akıllı telefondur. Fiyatı ₺8.499,00 ile orta segmentte yer alıyor. Özellikle yeni kullanıcılar ve gençler için uygun bir seçenek olarak öne çıkıyor."
17,a101.csv,Samsung Galaxy A16 128 GB 4 GB Ram Cep Telefonu Gri,"₺9.399,00",70,"Yeni ürün, pazarın giriş seviyesi segmentinde yer alıyor.",Bütçe dostu telefon arayan gençler ve orta yaşlı kullanıcılar.,İade ve arıza riski orta seviyede; kullanıcıların memnuniyeti değişkenlik gösterebilir.,"En büyük rakibi Xiaomi Redmi Note 12, fiyatı 8.999,00 TL.","Uygun fiyat, yüksek performans!",Olumlu; kullanıcılar telefonun performansını ve fiyatını beğeniyor.,"Yorumlar doğal görünüyor, bot riski düşük.",75,70,65,https://media.ldlc.com/r1600/ld/products/00/06/20/23/LD0006202372.jpg,https://www.a101.com.tr/elektronik/samsung-galaxy-a16-128-gb-4-gb-ram-cep-telefonu-gri_p-26061179,"Samsung Galaxy A16, 128 GB depolama ve 4 GB RAM ile uygun fiyatlı bir akıllı telefon seçeneği sunuyor. 9.399,00 TL fiyatıyla, bütçe dostu bir telefon arayan kullanıcılar için ideal bir tercih olabilir."
18,a101.csv,Xiaomi Redmi Note 14 256 GB 8 GB RAM Cep Telefonu Siyah,"₺11.499,00",76,"Yeni ürün, pazarın dikkatini çekiyor.","Genç kullanıcılar, bütçe dostu akıllı telefon arayanlar.","Ortalama iade ve arıza riski, ancak Xiaomi'nin güvenilirliği nedeniyle düşük.","Samsung Galaxy A serisi, fiyatı genellikle daha yüksek.","Güçlü performans, uygun fiyat!",Olumlu,"Düşük, yorumlar genellikle gerçek kullanıcılar tarafından yapılmış.",85,75,70,https://productimages.hepsiburada.net/s/777/424-600/110000873071380.jpg,https://www.a101.com.tr/elektronik/xiaomi-redmi-note-14-256-gb-8-gb-ram-cep-telefonu-siyah_p-26057057,"Xiaomi Redmi Note 14, 256 GB depolama ve 8 GB RAM ile güçlü bir performans sunuyor. Fiyatı ₺11.499,00 olan bu model, uygun fiyatlı akıllı telefon arayan kullanıcılar için cazip bir seçenek. Genel olarak olumlu geri dönüşler almakta."
19,a101.csv,Vivaldi Seramik Basık Tencere 26 cm Krem,"₺599,00",76,"Yükselişte, kullanıcılar arasında popülerlik kazanıyor.","Ev hanımları, yemek yapmayı seven bireyler, genç çiftler.","İade ve arıza riski orta düzeyde, seramik malzeme kırılma riski taşıyor.","En büyük rakibi 26 cm basık tencere setleri, fiyatları 500-700 TL arasında değişiyor.",Mutfaklarınızda şıklığı ve kalitesiyle fark yaratın!,"Olumlu, kullanıcılar ürünün estetiğinden ve işlevselliğinden memnun.","Yorumlar doğal görünüyor, bot riski düşük.",85,75,70,https://witcdn.hisar.com.tr/hisar-cera-ten-seramik-basik-tencere-26-cm-ahsap-seramik-tencere-seti-hisar-12100-55-B.jpg,https://www.a101.com.tr/ev-yasam/vivaldi-seramik-basik-tencere-26-cm-krem_p-26061834,"Vivaldi Seramik Basık Tencere 26 cm Krem, şık tasarımı ve yüksek kaliteli seramik kaplaması ile mutfakların vazgeçilmezi. 599,00 TL fiyatıyla, hem estetik hem de işlevsellik sunuyor."
20,a101.csv,Realme Note 60 128 GB 4 GB RAM Cep Telefonu Siyah,"₺6.699,00",65,"Yeni ürün, pazarın başlangıç aşamasında.",Gençler ve bütçe dostu telefon arayan kullanıcılar.,"İade ve arıza riski, sınırlı satış sonrası destek nedeniyle yüksek.","Xiaomi Redmi Note 11, yaklaşık ₺6.000,00 fiyatla en büyük rakip.",Günlük yaşam için mükemmel bir akıllı telefon!,Olumlu,Yorumlar doğal görünüyor.,75,70,65,https://images.migrosone.com/sanalmarket/product/39189028/39189028_1-2e1864-1650x1650.jpg,https://www.a101.com.tr/elektronik/realme-note-60-128-gb-4-gb-ram-cep-telefonu-siyah_p-26056773,"Realme Note 60, 128 GB depolama ve 4 GB RAM ile kullanıcılarına uygun fiyatlı bir akıllı telefon sunuyor. Şu anki fiyatı ₺6.699,00 olup, özellikle genç kullanıcılar ve bütçe dostu telefon arayanlar için cazip bir seçenek. Ancak, sınırlı fiziksel mağaza ağı ve zayıf müşteri hizmetleri, potansiyel alıcılar için bir risk oluşturuyor."
21,a101.csv,Samsung Galaxy A56 256 GB 8 GB RAM 5G Cep Telefonu Graphite,"₺22.999,00",65,Yeni Ürün,Orta segment akıllı telefon arayan genç ve teknoloji meraklıları.,"Orta düzeyde iade ve arıza riski, kullanıcıların beklentilerini karşılamaması durumunda artabilir.","Xiaomi Redmi Note 12 Pro, yaklaşık ₺20.000,00 fiyatla en büyük rakip.",Geleceği Yakalayın: Samsung Galaxy A56 ile Tanışın!,Olumlu,Düşük,75,70,60,https://i5.walmartimages.com/asr/ae67e38c-1833-4b4f-bd78-1f94528766a9.a5e927a34130d1a6a9b407a83bd378da.png,https://www.a101.com.tr/elektronik/samsung-galaxy-a56-256-gb-8-gb-ram-5g-cep-telefonu-graphite_p-26059475,"Samsung Galaxy A56, 5G destekli orta segment bir cep telefonu olarak piyasaya sürüldü. 256 GB depolama ve 8 GB RAM ile kullanıcıların ihtiyaçlarını karşılayacak özellikler sunuyor. Fiyatı ₺22.999,00 ile rekabetçi bir konumda."
22,a101.csv,Volta EV1 Elektrikli Araç Gümüş Gri,"₺229.990,00",76,"Yeni ürün, elektrikli araç pazarında yükselişte.",Şehir içi ulaşım arayan çevre bilinci yüksek bireyler.,"İade ve arıza riski, elektrikli araçların genel sorunlarıyla paralel olarak mevcut.",En büyük rakibi benzer fiyat aralığındaki diğer elektrikli araçlar; fiyat farkı yok.,Şehir içi ulaşımda çevre dostu ve ekonomik çözüm!,Olumlu,"Yorumlar doğal görünüyor, bot riski düşük.",85,75,70,https://img.pzrmcdn.com/mnresize/1180/1182/asset/8546965212/images/voltaev1elektrklaragmgr-1.png,https://www.a101.com.tr/oto-bahce-yapi/volta-ev1-elektrikli-arac-gumus-gri_p-26062936,"Volta EV1 Elektrikli Araç, şehir içi kullanım için ideal bir seçenek sunuyor. Modern tasarımı ve çevre dostu özellikleri ile dikkat çekiyor. Fiyatı ₺229.990,00 ile rekabetçi bir konumda."
23,a101.csv,Altus AL 445 NX 5 Programlı Bulaşık Makinesi,"₺13.499,00",72,"Yeni ürün, piyasaya yeni girmiştir.","Ev hanımları, çalışan profesyoneller, teknoloji meraklıları.","İade ve arıza riski orta seviyede, kullanıcı deneyimlerine bağlı olarak değişebilir.","En büyük rakip Bosch, fiyat farkı yaklaşık ₺2.000.","Zamanı ve enerjiyi tasarruf edin, Altus ile hayatınızı kolaylaştırın!",Olumlu,"Yorumlar doğal görünüyor, ancak dikkatli analiz gerekli.",85,70,75,,https://www.a101.com.tr/elektronik/altus-al-445-nx-5-programli-bulasik-makinesi_p-26065727,"Altus AL 445 NX 5 Programlı Bulaşık Makinesi, modern tasarımı ve enerji verimliliği ile dikkat çekiyor. Gelişmiş program seçenekleri sayesinde kullanıcıların ihtiyaçlarına uygun çözümler sunuyor."
24,a101.csv,Altus AL 101 YB 10 kg Çamaşır Kurutma Makinesi,"₺14.499,00",72,Yükselen,Aileler ve yoğun çalışan bireyler,"Orta düzeyde iade ve arıza riski, kullanıcı yorumlarına bağlı olarak değişkenlik gösterebilir.","En büyük rakip: Bosch, fiyat farkı: ₺2.000,00",Çamaşırlarınızın en iyi dostu!,Olumlu,"Düşük, yorumlar gerçek kullanıcılar tarafından yapılmış gibi görünüyor.",85,70,60,,https://www.a101.com.tr/elektronik/altus-al-101-yb-10-kg-camasir-kurutma-makinesi_p-26065735,"Altus AL 101 YB 10 kg Çamaşır Kurutma Makinesi, geniş kapasitesi ve enerji verimliliği ile dikkat çekiyor. Modern tasarımı ve kullanıcı dostu özellikleri ile evde çamaşır kurutma işini kolaylaştırıyor."
25,a101.csv,Altus AL CM 101254 D 10 Kg 1200 Devir Çamaşır Makinesi,"₺19.499,00",76,Yükselişte,Kalabalık aileler ve yoğun çamaşır yıkama ihtiyacı olan kullanıcılar.,"İade ve arıza riski orta seviyede, kullanıcı yorumları dikkate alınmalı.","Bosch Serie 6, yaklaşık ₺24.999,00 ile en büyük rakip.","Güçlü performans, geniş kapasite: Altus ile çamaşır yıkamak artık çok kolay!",Olumlu,Düşük,85,75,70,https://www.altus.com.tr/content/dam/altus-rainbow-tr-aem/altus-rainbow-tr-aemProductCatalog/product-images/457100032100-AL-CM-101254-D/457100032100-MDM2-LOW-9.png/jcr:content/renditions/original,https://www.a101.com.tr/elektronik/altus-al-cm-101254-d-10-kg-1200-devir-camasir-makinesi_p-26065729,"Altus AL CM 101254 D 10 Kg 1200 Devir Çamaşır Makinesi, geniş kapasitesi ve yüksek devir hızıyla kalabalık aileler için ideal bir seçimdir. Enerji verimliliği ve performansı ile dikkat çekmektedir. Fiyatı ₺19.499,00 ile rekabetçi bir segmentte yer almaktadır."
26,a101.csv,Fissler Vitaquick Premium 602-410-13-090 Düdüklü Tencere ...,"₺16.499,00",82,Yüksek talep ve sürekli yenilik ile büyüyen bir yaşam döngüsü.,Yüksek kaliteli mutfak ekipmanlarına yatırım yapmak isteyen yemek tutkunları ve profesyonel şefler.,Yüksek fiyat nedeniyle iade riski olabilir; ancak kalite ve marka güvenilirliği bu riski azaltıyor.,"En büyük rakip WMF, fiyatı genellikle ₺1.500 daha yüksek.","Lezzetli yemekler, hızlı ve güvenli pişirme ile Fissler'den!",Olumlu; kullanıcılar ürünün kullanımını kolay ve etkili buluyor.,"Yorumlar doğal görünüyor, bot riski düşük.",90,85,70,https://m.media-amazon.com/images/I/51wULFzpZIL._AC_SL1185_.jpg,https://www.a101.com.tr/ev-yasam/fissler-vitaquick-premium-602-410-13-090-duduklu-tencere-seti-6-3-5-l-buharli-pisirme-aparati_p-26066627,"Fissler Vitaquick Premium 602-410-13-090 Düdüklü Tencere Seti, yüksek kaliteli Alman mühendisliği ile üretilmiştir. 6L ve 3.5L kapasiteleri ile pratik bir pişirme deneyimi sunar. Fiyatı ₺16.499,00 ile premium segmentte yer almaktadır."
27,a101.csv,"Dolphin Titan Pro DLE30 Elektrikli Forklift 3 Ton 4,7 m","₺1.199.000,00",76,Yükselen,"Lojistik, depo ve inşaat sektörlerinde faaliyet gösteren işletmeler.",Yüksek maliyet nedeniyle iade ve arıza riski bulunmaktadır.,"Rakip: Toyota 3 ton elektrikli forklift, fiyatı ₺1.350.000,00.","Güçlü, verimli ve yerli: Dolphin Titan Pro ile işinizi büyütün!",Olumlu,Düşük,85,75,70,https://yuntes.com.tr/wp-content/uploads/titan35forklift_0006_1-800x533.webp,https://www.a101.com.tr/oto-bahce-yapi/dolphin-titan-pro-dle30-elektrikli-forklift-3-ton-4-7-m_p-26066409,"Dolphin Titan Pro DLE30, 3 ton kapasiteye sahip elektrikli forklift, 4.7 m kaldırma yüksekliği ile endüstriyel ihtiyaçlar için ideal bir çözümdür. Yerli üretim olan bu model, yüksek performansı ve batarya verimliliği ile dikkat çekmektedir."
28,a101.csv,Kiwi KLR-1513 Yün Kazak Temizleme Cihazı,"₺199,00",75,"Yeni ürün, pazarın dikkatini çekmeye başladı.","Yün kazak ve kıyafet kullanan, temizlik ve bakımına önem veren bireyler.","Ürünün iade ve arıza riski, kullanıcıların beklentilerini karşılamaması durumunda artabilir.","En büyük rakip Xiaomi Yün Temizleme Makinesi, fiyatı ₺250,00.","Yün kazaklarınızı koruyun, temiz tutun!","Videolardaki genel hava olumlu, kullanıcılar cihazın etkinliğinden memnun.","Yorumlar doğal görünüyor, ancak dikkatli analiz gerektiriyor.",85,70,80,https://m.media-amazon.com/images/I/614+QCkLxyL._AC_.jpg,https://www.a101.com.tr/elektronik/kiwi-klr-1513-yun-kazak-temizleme-cihazi_p-26029686,"Kiwi KLR-1513 Yün Kazak Temizleme Cihazı, yün ve kazaklar için özel olarak tasarlanmış bir temizlik aracıdır. Kullanıcı dostu tasarımı ve etkili tiftik temizleme özelliği ile dikkat çekmektedir. Fiyatı ₺199,00 ile uygun bir seçenek sunmaktadır."
29,a101.csv,Arzum İmaj AR5011 Saç Kurutma Makinesi Siyah,"₺899,00",73,Olumlu,"Kadın kullanıcılar, saç bakımına önem veren bireyler.","İade ve arıza riski, motor sesleri nedeniyle mevcut.","En büyük rakip: Philips; Arzum'un fiyatı ₺899, Philips'in benzer ürünleri genellikle ₺1000-₺1200 arasında.",Saçınıza Şıklık Katın!,Olumlu,Düşük,75,70,80,https://witcdn.arzum.com.tr/ar5011-imaj-hair-dryer-hair-dryers-arzum-ar5011-3466-22-B.jpg,https://www.a101.com.tr/elektronik/arzum-imaj-ar5011-sac-kurutma-makinesi-siyah_p-26006183,"Arzum İmaj AR5011 Saç Kurutma Makinesi, uygun fiyatı ve performansıyla dikkat çekiyor. Kullanıcılar tarafından genel olarak olumlu yorumlar alıyor, ancak bazı motor sesleri ile ilgili şikayetler mevcut."
