Rank,Marka,Ürün Adı,Fiyat,Link
68,-,Banvit Piliç Kök Kanat Kg,"109,00 TL",https://www.carrefoursa.com/banvit-pilic-kok-kanat-kg-p-30146275
69,-,İçim Kaşar Peyniri 600 Gr,"249,95 TL",https://www.carrefoursa.com/icim-kasar-peyniri-600-gr-p-30220678
70,-,Namet 7/24 Hindi Füme 60 G,"28,90 TL",https://www.carrefoursa.com/namet-7-24-hindi-fume-60-g-p-30234895
71,-,Carrefour Toz Şeker 3 Kg,"131,50 TL",https://www.carrefoursa.com/carrefour-toz-seker-3-kg-p-30113515
72,-,Kokteyl Domates kg,"109,90 TL",https://www.carrefoursa.com/kokteyl-domates-kg-p-30088002
73,-,Lezita Taze Poşetli Bütün Piliç Kg,"89,90 TL",https://www.carrefoursa.com/lezita-taze-posetli-butun-pilic-kg-p-30064212
74,-,Brokoli kg,"129,90 TL",https://www.carrefoursa.com/brokoli-kg-p-30088094
75,-,Bal Kabağı Soyulmuş (1200-1700 gr),"89,90 TL",https://www.carrefoursa.com/bal-kabagi-soyulmus-1200-1700-gr--p-30021809
76,-,Banvit But Pirzola Kg,"145,20 TL",https://www.carrefoursa.com/banvit-but-pirzola-kg-p-30098641
77,-,Domestos Çamaşır Suyu Çam Ferahlığı 3240 ml,"149,90 TL",https://www.carrefoursa.com/domestos-camasir-suyu-cam-ferahligi-3240-ml-p-30148011
78,-,Öncü Domates Salça 1650 G,"169,90 TL",https://www.carrefoursa.com/oncu-domates-salca-1650-g-p-30060916
79,-,Patlıcan Kemer Pazar,"109,90 TL",https://www.carrefoursa.com/patlican-kemer-pazar-p-30102894
80,-,Carrefour Gezen Tavuk Yumurtası 10 Adet M Boy,"109,90 TL",https://www.carrefoursa.com/carrefour-gezen-tavuk-yumurtasi-10-adet-m-boy-p-30248468
81,-,İçim Doğal Kaymaksız Yoğurt 2000 Gr,"119,95 TL",https://www.carrefoursa.com/icim-dogal-kaymaksiz-yogurt-2000-gr-p-30221821
82,-,Carrefour Yumurta 30'lu M Boy,"169,50 TL",https://www.carrefoursa.com/carrefour-yumurta-30-lu-m-boy-p-30239970
83,-,Ispanak kg,"84,90 TL",https://www.carrefoursa.com/ispanak-kg-p-30019568
84,-,Carrefour Bio Organik Yumurta 10'lu,"149,90 TL",https://www.carrefoursa.com/carrefour-bio-organik-yumurta-10-lu-p-30259863
85,-,Ülker %80 Kakao Bitter Çikolata 60 g,"49,90 TL",https://www.carrefoursa.com/ulker-80-kakao-bitter-cikolata-60-g-p-30024177
86,-,Kırmızı Turp kg,"44,95 TL",https://www.carrefoursa.com/kirmizi-turp-kg-p-30088596
87,-,Enginar Soyulmuş 5'li,"99,95 TL",https://www.carrefoursa.com/enginar-soyulmus-5-li-p-30252223
88,-,Sakız Kabak kg,"109,90 TL",https://www.carrefoursa.com/sakiz-kabak-kg-p-30022296
89,-,Tatlı Patates İthal kg,"79,95 TL",https://www.carrefoursa.com/tatli-patates-ithal-kg-p-30085258
90,-,Çarliston Biber kg,"89,90 TL",https://www.carrefoursa.com/carliston-biber-kg-p-30012953
91,-,Golden Elma kg,"109,90 TL",https://www.carrefoursa.com/golden-elma-kg-p-30035234
92,-,"Carrefour Tam Yağlı Yoğurt 1,5 Kg","76,90 TL",https://www.carrefoursa.com/carrefour-tam-yagli-yogurt-1-5-kg-p-30356414
93,-,Patates Kızartmalık File,"39,90 TL",https://www.carrefoursa.com/patates-kizartmalik-file-p-30281241
94,-,Mantar 300 g,"64,90 TL",https://www.carrefoursa.com/mantar-300-g-p-30033731
95,-,Elma Starking Gurme,"129,90 TL",https://www.carrefoursa.com/elma-starking-gurme-p-30113647
96,-,Sleepy Sensitive Islak Mendil 90'Lı,"36,95 TL",https://www.carrefoursa.com/sleepy-sensitive-islak-mendil-90-li-p-30201788
97,-,Nesfit Yüksek Lifli Bar 20 g,"24,50 TL",https://www.carrefoursa.com/nesfit-yuksek-lifli-bar-20-g-p-30482285
98,-,İçim Laktozsuz Süt 1000 Ml,"62,50 TL",https://www.carrefoursa.com/icim-laktozsuz-sut-1000-ml-p-30063979
99,-,"Erikli Su 6X1,5 Litre","165,00 TL",https://www.carrefoursa.com/erikli-su-6x1-5-litre-p-30044776
100,-,Nane Adet,"39,95 TL",https://www.carrefoursa.com/nane-adet-p-30016091
101,-,Edelmeister Alkolsüz Malt İçecek 500 ml,"72,00 TL",https://www.carrefoursa.com/edelmeister-alkolsuz-malt-icecek-500-ml-p-30222394
102,-,Eker Ayran 1 Litre,"45,95 TL",https://www.carrefoursa.com/eker-ayran-1-litre-p-30092601
103,-,Lezita Tabaklı But Izgara Derisiz Kg,"155,90 TL",https://www.carrefoursa.com/lezita-tabakli-but-izgara-derisiz-kg-p-30064285
104,-,Çengelköy Salatalık kg,"149,90 TL",https://www.carrefoursa.com/cengelkoy-salatalik-kg-p-30008006
105,-,Kestane Yerli kg,"199,00 TL",https://www.carrefoursa.com/kestane-yerli-kg-p-30092102
106,-,Lezita Tabaklı Baget Kg,"89,90 TL",https://www.carrefoursa.com/lezita-tabakli-baget-kg-p-30064211
107,-,Eti Topkek Fındıklı Kakaolu 35 g,"12,25 TL",https://www.carrefoursa.com/eti-topkek-findikli-kakaolu-35-g-p-30042420
108,-,Carrefour Olgunlaştırılmış Beyaz Peynir 600 Gr,"227,90 TL",https://www.carrefoursa.com/carrefour-olgunlastirilmis-beyaz-peynir-600-gr-p-30389445
109,-,Ülker %60 Bitter Çikolata Kare 60 G,"49,90 TL",https://www.carrefoursa.com/ulker-60-bitter-cikolata-kare-60-g-p-30095763
110,-,Dana Sote Kg,"899,90 TL",https://www.carrefoursa.com/dana-sote-kg-p-30054454
111,-,Eti Süt Burger 35 Gr,"15,95 TL",https://www.carrefoursa.com/eti-sut-burger-35-gr-p-30064689
112,-,Filiz Spagetti (Çubuk) Makarna 500 g,"30,95 TL",https://www.carrefoursa.com/filiz-spagetti-cubuk-makarna-500-g-p-30097178
113,-,Coca-Cola Zero Sugar 1 L Pet,"54,00 TL",https://www.carrefoursa.com/coca-cola-zero-sugar-1-l-pet-p-30013800
114,-,Marul Adet,"84,90 TL",https://www.carrefoursa.com/marul-adet-p-30012445
115,-,Nutella Kakaolu Fındık Kreması 400 g,"159,90 TL",https://www.carrefoursa.com/nutella-kakaolu-findik-kremasi-400-g-p-30078021
116,-,Ekşi Mayalı Tam Buğdaylı Ekmek 500 g,"42,90 TL",https://www.carrefoursa.com/eksi-mayali-tam-bugdayli-ekmek-500-g-p-20000268
117,-,"Carrefour Gönen Baldo Pirinç 2,5 Kg","195,00 TL",https://www.carrefoursa.com/carrefour-gonen-baldo-pirinc-2-5-kg-p-30165980
118,-,Carrefour Ton Balığı Konservesi 2x160 G,"118,50 TL",https://www.carrefoursa.com/carrefour-ton-baligi-konservesi-2x160-g-p-30129299
119,-,Erikli Su 5 Lt,"60,00 TL",https://www.carrefoursa.com/erikli-su-5-lt-p-30006960
120,-,Dana Döş Sarma Kg,"729,90 TL",https://www.carrefoursa.com/dana-dos-sarma-kg-p-30054554
121,-,Namet 7/24 Dana Macar Salam 60 G,"47,75 TL",https://www.carrefoursa.com/namet-7-24-dana-macar-salam-60-g-p-30079250
122,-,Carrefour Hindi Salam 50 G,"18,50 TL",https://www.carrefoursa.com/carrefour-hindi-salam-50-g-p-30280212
123,-,Teremyağ Paket Margarin 250 G,"44,90 TL",https://www.carrefoursa.com/teremyag-paket-margarin-250-g-p-30096718
124,-,Banvit Piliç Baget Kg,"140,80 TL",https://www.carrefoursa.com/banvit-pilic-baget-kg-p-30098642
125,-,Deveci Armut kg,"109,90 TL",https://www.carrefoursa.com/deveci-armut-kg-p-30018842
126,-,Dolma Biber Kg,"99,90 TL",https://www.carrefoursa.com/dolma-biber-kg-p-30013316
127,-,Banvit Poşetli Bütün Piliç Kg,"119,90 TL",https://www.carrefoursa.com/banvit-posetli-butun-pilic-kg-p-30089743
128,-,Carrefour Yumurta 15'li L Boy,"99,00 TL",https://www.carrefoursa.com/carrefour-yumurta-15-li-l-boy-p-30239968?has-promotion
129,-,Carrefour Ayçiçek Yağı Pet 5 Lt,"409,90 TL",https://www.carrefoursa.com/carrefour-aycicek-yagi-pet-5-lt-p-30078961?has-promotion
130,-,Kıvırcık Demet Adet,"54,90 TL",https://www.carrefoursa.com/kivircik-demet-adet-p-30013405?has-promotion
131,-,Domates Pazar kg,"89,90 TL",https://www.carrefoursa.com/domates-pazar-kg-p-30013008?has-promotion
132,-,Kırmızı Lahana kg,"49,90 TL",https://www.carrefoursa.com/kirmizi-lahana-kg-p-30084969?has-promotion
133,-,Banvit Bonfile Göğüs Kg,"242,00 TL",https://www.carrefoursa.com/banvit-bonfile-gogus-kg-p-30098645?has-promotion
134,-,Çilek kg,"199,00 TL",https://www.carrefoursa.com/cilek-kg-p-30043447?has-promotion
135,-,Dana Kuşbaşı Kg,"759,90 TL",https://www.carrefoursa.com/dana-kusbasi-kg-p-30069289?has-promotion
136,-,Taze Soğan Demet,"69,90 TL",https://www.carrefoursa.com/taze-sogan-demet-p-30014370?has-promotion
137,-,Kapya Biber kg,"99,90 TL",https://www.carrefoursa.com/kapya-biber-kg-p-30096974?has-promotion
138,-,Ülker Çikolata Sütlü Kare 60 G,"49,90 TL",https://www.carrefoursa.com/ulker-cikolata-sutlu-kare-60-g-p-30095762?has-promotion
139,-,Göbek Salata Adet,"59,90 TL",https://www.carrefoursa.com/gobek-salata-adet-p-30097557?has-promotion
140,-,Ülker Çubuk Kraker Sade 40 Gr,"6,25 TL",https://www.carrefoursa.com/ulker-cubuk-kraker-sade-40-gr-p-30095805?has-promotion
141,-,Söke Un 5 Kg,"149,95 TL",https://www.carrefoursa.com/soke-un-5-kg-p-30143705?has-promotion
142,-,Starking Elma kg,"109,90 TL",https://www.carrefoursa.com/starking-elma-kg-p-30032860?has-promotion
143,-,Pırasa kg,"69,95 TL",https://www.carrefoursa.com/pirasa-kg-p-30017458?has-promotion
144,-,Coca-Coca 1 L Pet,"54,00 TL",https://www.carrefoursa.com/coca-coca-1-l-pet-p-30098389?has-promotion
145,-,Salatalık kg,"99,90 TL",https://www.carrefoursa.com/salatalik-kg-p-30007782?has-promotion
146,-,Mantar 300 g,"59,90 TL",https://www.carrefoursa.com/mantar-300-g-p-30179267?has-promotion
147,-,Hayat Su 5 Lt,"40,80 TL",https://www.carrefoursa.com/hayat-su-5-lt-p-30091535?has-promotion
148,-,Kızılay Doğal Maden Suyu Erzincan/Afyon 6x200 ml,"47,50 TL",https://www.carrefoursa.com/kizilay-dogal-maden-suyu-erzincan-afyon-6x200-ml-p-30262194?has-promotion
149,-,Sivri Biber Kg,"64,90 TL",https://www.carrefoursa.com/sivri-biber-kg-p-30013546?has-promotion
150,-,Carrefour Hindi Füme 50 G,"22,50 TL",https://www.carrefoursa.com/carrefour-hindi-fume-50-g-p-30280213?has-promotion
151,-,Nutella Kakaolu Fındık Kreması 750 g,"272,50 TL",https://www.carrefoursa.com/nutella-kakaolu-findik-kremasi-750-g-p-30047778?has-promotion
152,-,Mor Soğan kg,"34,90 TL",https://www.carrefoursa.com/mor-sogan-kg-p-30092270?has-promotion
153,-,Sarıkız Doğal Maden Suyu 6 X 250 ml,"59,00 TL",https://www.carrefoursa.com/sarikiz-dogal-maden-suyu-6-x-250-ml-p-30386026?has-promotion
154,-,Lezita Tabaklı Fileto Kg,"165,90 TL",https://www.carrefoursa.com/lezita-tabakli-fileto-kg-p-30064164?has-promotion
155,-,Carrefour Gönen Baldo Pirinç 1 Kg,"81,50 TL",https://www.carrefoursa.com/carrefour-gonen-baldo-pirinc-1-kg-p-30165819?has-promotion
156,-,Carrefour Süt 200 Ml,"11,50 TL",https://www.carrefoursa.com/carrefour-sut-200-ml-p-30283981?has-promotion
157,-,Pancar kg,"64,95 TL",https://www.carrefoursa.com/pancar-kg-p-30007252?has-promotion
158,-,Uno Büyük Tost Ekmeği 550 g,"69,90 TL",https://www.carrefoursa.com/uno-buyuk-tost-ekmegi-550-g-p-30298076
159,-,Uno Premium Çok Tahıllı Ekmek 400 g,"80,00 TL",https://www.carrefoursa.com/uno-premium-cok-tahilli-ekmek-400-g-p-30481968
160,-,Uno Premium Çavdarlı Ekmek 400 g,"80,00 TL",https://www.carrefoursa.com/uno-premium-cavdarli-ekmek-400-g-p-30481969
161,-,Uno Süper Tost Çavdarlı 500 gr,"90,00 TL",https://www.carrefoursa.com/uno-super-tost-cavdarli-500-gr-p-30502137
162,-,Banvit Piliç Kök Kanat Kg,"109,00 TL",https://www.carrefoursa.com/banvit-pilic-kok-kanat-kg-p-30146275
163,-,İçim Kaşar Peyniri 600 Gr,"249,95 TL",https://www.carrefoursa.com/icim-kasar-peyniri-600-gr-p-30220678
164,-,Namet 7/24 Hindi Füme 60 G,"28,90 TL",https://www.carrefoursa.com/namet-7-24-hindi-fume-60-g-p-30234895
165,-,Carrefour Toz Şeker 3 Kg,"131,50 TL",https://www.carrefoursa.com/carrefour-toz-seker-3-kg-p-30113515
166,-,Kokteyl Domates kg,"109,90 TL",https://www.carrefoursa.com/kokteyl-domates-kg-p-30088002
167,-,Lezita Taze Poşetli Bütün Piliç Kg,"89,90 TL",https://www.carrefoursa.com/lezita-taze-posetli-butun-pilic-kg-p-30064212
168,-,Brokoli kg,"129,90 TL",https://www.carrefoursa.com/brokoli-kg-p-30088094
169,-,Bal Kabağı Soyulmuş (1200-1700 gr),"89,90 TL",https://www.carrefoursa.com/bal-kabagi-soyulmus-1200-1700-gr--p-30021809
170,-,Banvit But Pirzola Kg,"145,20 TL",https://www.carrefoursa.com/banvit-but-pirzola-kg-p-30098641
171,-,Domestos Çamaşır Suyu Çam Ferahlığı 3240 ml,"149,90 TL",https://www.carrefoursa.com/domestos-camasir-suyu-cam-ferahligi-3240-ml-p-30148011
172,-,Öncü Domates Salça 1650 G,"169,90 TL",https://www.carrefoursa.com/oncu-domates-salca-1650-g-p-30060916
173,-,Patlıcan Kemer Pazar,"109,90 TL",https://www.carrefoursa.com/patlican-kemer-pazar-p-30102894
174,-,Carrefour Gezen Tavuk Yumurtası 10 Adet M Boy,"109,90 TL",https://www.carrefoursa.com/carrefour-gezen-tavuk-yumurtasi-10-adet-m-boy-p-30248468
175,-,İçim Doğal Kaymaksız Yoğurt 2000 Gr,"119,95 TL",https://www.carrefoursa.com/icim-dogal-kaymaksiz-yogurt-2000-gr-p-30221821
176,-,Carrefour Yumurta 30'lu M Boy,"169,50 TL",https://www.carrefoursa.com/carrefour-yumurta-30-lu-m-boy-p-30239970
177,-,Ispanak kg,"84,90 TL",https://www.carrefoursa.com/ispanak-kg-p-30019568
178,-,Carrefour Bio Organik Yumurta 10'lu,"149,90 TL",https://www.carrefoursa.com/carrefour-bio-organik-yumurta-10-lu-p-30259863
179,-,Ülker %80 Kakao Bitter Çikolata 60 g,"49,90 TL",https://www.carrefoursa.com/ulker-80-kakao-bitter-cikolata-60-g-p-30024177
180,-,Kırmızı Turp kg,"44,95 TL",https://www.carrefoursa.com/kirmizi-turp-kg-p-30088596
181,-,Enginar Soyulmuş 5'li,"99,95 TL",https://www.carrefoursa.com/enginar-soyulmus-5-li-p-30252223
182,-,Sakız Kabak kg,"109,90 TL",https://www.carrefoursa.com/sakiz-kabak-kg-p-30022296
183,-,Tatlı Patates İthal kg,"79,95 TL",https://www.carrefoursa.com/tatli-patates-ithal-kg-p-30085258
184,-,Çarliston Biber kg,"89,90 TL",https://www.carrefoursa.com/carliston-biber-kg-p-30012953
185,-,Golden Elma kg,"109,90 TL",https://www.carrefoursa.com/golden-elma-kg-p-30035234
186,-,"Carrefour Tam Yağlı Yoğurt 1,5 Kg","76,90 TL",https://www.carrefoursa.com/carrefour-tam-yagli-yogurt-1-5-kg-p-30356414
187,-,Patates Kızartmalık File,"39,90 TL",https://www.carrefoursa.com/patates-kizartmalik-file-p-30281241
188,-,Mantar 300 g,"64,90 TL",https://www.carrefoursa.com/mantar-300-g-p-30033731
189,-,Elma Starking Gurme,"129,90 TL",https://www.carrefoursa.com/elma-starking-gurme-p-30113647
190,-,Sleepy Sensitive Islak Mendil 90'Lı,"36,95 TL",https://www.carrefoursa.com/sleepy-sensitive-islak-mendil-90-li-p-30201788
191,-,Nesfit Yüksek Lifli Bar 20 g,"24,50 TL",https://www.carrefoursa.com/nesfit-yuksek-lifli-bar-20-g-p-30482285
192,-,İçim Laktozsuz Süt 1000 Ml,"62,50 TL",https://www.carrefoursa.com/icim-laktozsuz-sut-1000-ml-p-30063979
193,-,"Erikli Su 6X1,5 Litre","165,00 TL",https://www.carrefoursa.com/erikli-su-6x1-5-litre-p-30044776
194,-,Nane Adet,"39,95 TL",https://www.carrefoursa.com/nane-adet-p-30016091
195,-,Edelmeister Alkolsüz Malt İçecek 500 ml,"72,00 TL",https://www.carrefoursa.com/edelmeister-alkolsuz-malt-icecek-500-ml-p-30222394
196,-,Eker Ayran 1 Litre,"45,95 TL",https://www.carrefoursa.com/eker-ayran-1-litre-p-30092601
197,-,Lezita Tabaklı But Izgara Derisiz Kg,"155,90 TL",https://www.carrefoursa.com/lezita-tabakli-but-izgara-derisiz-kg-p-30064285
198,-,Çengelköy Salatalık kg,"149,90 TL",https://www.carrefoursa.com/cengelkoy-salatalik-kg-p-30008006
199,-,Kestane Yerli kg,"199,00 TL",https://www.carrefoursa.com/kestane-yerli-kg-p-30092102
200,-,Lezita Tabaklı Baget Kg,"89,90 TL",https://www.carrefoursa.com/lezita-tabakli-baget-kg-p-30064211
201,-,Eti Topkek Fındıklı Kakaolu 35 g,"12,25 TL",https://www.carrefoursa.com/eti-topkek-findikli-kakaolu-35-g-p-30042420
202,-,Carrefour Olgunlaştırılmış Beyaz Peynir 600 Gr,"227,90 TL",https://www.carrefoursa.com/carrefour-olgunlastirilmis-beyaz-peynir-600-gr-p-30389445
203,-,Ülker %60 Bitter Çikolata Kare 60 G,"49,90 TL",https://www.carrefoursa.com/ulker-60-bitter-cikolata-kare-60-g-p-30095763
204,-,Dana Sote Kg,"899,90 TL",https://www.carrefoursa.com/dana-sote-kg-p-30054454
205,-,Eti Süt Burger 35 Gr,"15,95 TL",https://www.carrefoursa.com/eti-sut-burger-35-gr-p-30064689
206,-,Filiz Spagetti (Çubuk) Makarna 500 g,"30,95 TL",https://www.carrefoursa.com/filiz-spagetti-cubuk-makarna-500-g-p-30097178
207,-,Coca-Cola Zero Sugar 1 L Pet,"54,00 TL",https://www.carrefoursa.com/coca-cola-zero-sugar-1-l-pet-p-30013800
208,-,Marul Adet,"84,90 TL",https://www.carrefoursa.com/marul-adet-p-30012445
209,-,Nutella Kakaolu Fındık Kreması 400 g,"159,90 TL",https://www.carrefoursa.com/nutella-kakaolu-findik-kremasi-400-g-p-30078021
210,-,Ekşi Mayalı Tam Buğdaylı Ekmek 500 g,"42,90 TL",https://www.carrefoursa.com/eksi-mayali-tam-bugdayli-ekmek-500-g-p-20000268
211,-,"Carrefour Gönen Baldo Pirinç 2,5 Kg","195,00 TL",https://www.carrefoursa.com/carrefour-gonen-baldo-pirinc-2-5-kg-p-30165980
212,-,Carrefour Ton Balığı Konservesi 2x160 G,"118,50 TL",https://www.carrefoursa.com/carrefour-ton-baligi-konservesi-2x160-g-p-30129299
